Name,Ticker,Symbol,Symbol2,Sector,TIDM,
AQUABOUNTY TECHNOLOGIES INC.,ABTU,LON:ABTU,ABTU.L,Pharmaceuticals & Biotechnology,ABTU,
AQUATIC FOODS GROUP PLC,AFG,LON:AFG,AFG.L,Food Producers,AFG,
ARBUTHNOT BANKING GROUP PLC,ARBB,LON:ARBB,ARBB.L,General Financial,ARBB,
ARCONTECH GROUP PLC,ARC,LON:ARC,ARC.L,Software & Computer Services,ARC,
ARDEN PARTNERS PLC,ARDN,LON:ARDN,ARDN.L,General Financial,ARDN,
ARGO GROUP LD,ARGO,LON:ARGO,ARGO.L,General Financial,ARGO,
ARGOS RESOURCES LD,ARG,LON:ARG,ARG.L,Oil & Gas Producers,ARG,
ARIANA RESOURCES PLC,AAU,LON:AAU,AAU.L,Mining,AAU,
ARIAN SILVER CORPORATION,AGQ,LON:AGQ,AGQ.L,Mining,AGQ,
ARMADALE CAPITAL PLC,ACP,LON:ACP,ACP.L,"Gas, Water & Multiutilities",ACP,
ARTILIUM PLC,ARTA,LON:ARTA,ARTA.L,Software & Computer Services,ARTA,
ASA RESOURCE GROUP PLC,ASA,LON:ASA,ASA.L,Mining,ASA,
ASCENT RESOURCES PLC,AST,LON:AST,AST.L,Oil & Gas Producers,AST,
ASHLEY HOUSE PLC,ASH,LON:ASH,ASH.L,Construction & Materials,ASH,
ASIAMET RESOURCES LD,ARS,LON:ARS,ARS.L,Mining,ARS,
ASIAN GROWTH PROPERTIES LD,AGP,LON:AGP,AGP.L,Real Estate Investment & Services,AGP,
ASOS PLC,ASC,LON:ASC,ASC.L,General Retailers,ASC,
ASSETCO PLC,ASTO,LON:ASTO,ASTO.L,Support Services,ASTO,
ATALAYA MINING PLC,ATYM,LON:ATYM,ATYM.L,Mining,ATYM,
ATLANTIS RESOURCES LTD,ARL,LON:ARL,ARL.L,Alternative Energy,ARL,
ATTRAQT GROUP PLC,ATQT,LON:ATQT,ATQT.L,Software & Computer Services,ATQT,
AUDIOBOOM GROUP PLC,BOOM,LON:BOOM,BOOM.L,Media,BOOM,
AUGEAN PLC,AUG,LON:AUG,AUG.L,Support Services,AUG,
AUKETT SWANKE GROUP PLC,AUK,LON:AUK,AUK.L,Construction & Materials,AUK,
AURA ENERGY LIMITED,AURA,LON:AURA,AURA.L,Industrial Metals,AURA,
AUTINS GROUP PLC,AUTG,LON:AUTG,AUTG.L,Automobiles & Parts,AUTG,
AVACTA GROUP PLC,AVCT,LON:AVCT,AVCT.L,Pharmaceuticals & Biotechnology,AVCT,
AVANTI COMMUNICATIONS GROUP PLC,AVN,LON:AVN,AVN.L,Mobile Telecommunications,AVN,
AVESORO RESOURCES INC.,ASO,LON:ASO,ASO.L,Mining,ASO,
AVINGTRANS PLC,AVG,LON:AVG,AVG.L,Industrial Engineering,AVG,
BACANORA MINERALS LTD,BCN,LON:BCN,BCN.L,Mining,BCN,
BAGIR GROUP LTD.,BAGR,LON:BAGR,BAGR.L,Personal Goods,BAGR,
BAHAMAS PETROLEUM COMPANY PLC,BPC,LON:BPC,BPC.L,Oil & Gas Producers,BPC,
BAILEY(C.H.) PLC,BLEY,LON:BLEY,BLEY.L,Industrial Engineering,BLEY,
BANGO PLC,BGO,LON:BGO,BGO.L,Software & Computer Services,BGO,
BARON OIL PLC,BOIL,LON:BOIL,BOIL.L,Oil & Gas Producers,BOIL,
BASE RESOURCES LD,BSE,LON:BSE,BSE.L,Mining,BSE,
BEGBIES TRAYNOR GROUP PLC,BEG,LON:BEG,BEG.L,Support Services,BEG,
BE HEARD GROUP PLC,BHRD,LON:BHRD,BHRD.L,Media,BHRD,
BELLZONE MINING PLC,BZM,LON:BZM,BZM.L,Mining,BZM,
BELVOIR LETTINGS PLC,BLV,LON:BLV,BLV.L,Real Estate Investment & Services,BLV,
BENCHMARK HOLDINGS PLC,BMK,LON:BMK,BMK.L,Pharmaceuticals & Biotechnology,BMK,
BEOWULF MINING PLC,BEM,LON:BEM,BEM.L,Mining,BEM,
BERKELEY ENERGIA LTD,BKY,LON:BKY,BKY.L,Mining,BKY,
BEST OF THE BEST PLC,BOTB,LON:BOTB,BOTB.L,Travel & Leisure,BOTB,
BEXIMCO PHARMACEUTICALS LD,BXP,LON:BXP,BXP.L,Pharmaceuticals & Biotechnology,BXP,
BEZANT RESOURCES PLC,BZT,LON:BZT,BZT.L,Mining,BZT,
BIG SOFA TECHNOLOGIES GROUP PLC,BST,LON:BST,BST.L,Software & Computer Services,BST,
BILBY PLC,BILB,LON:BILB,BILB.L,Support Services,BILB,
BILLING SERVICES GROUP LD,BILL,LON:BILL,BILL.L,Support Services,BILL,
BILLINGTON HOLDINGS PLC,BILN,LON:BILN,BILN.L,Construction & Materials,BILN,
BIOME TECHNOLOGIES PLC,BIOM,LON:BIOM,BIOM.L,Chemicals,BIOM,
BIOVENTIX PLC,BVXP,LON:BVXP,BVXP.L,Pharmaceuticals & Biotechnology,BVXP,
BLANCCO TECHNOLOGY GROUP PLC,BLTG,LON:BLTG,BLTG.L,Software & Computer Services,BLTG,
BLENHEIM NATURAL RESOURCES PLC,BNR,LON:BNR,BNR.L,General Financial,BNR,
BLUEJAY MINING PLC,JAY,LON:JAY,JAY.L,Industrial Metals,JAY,
BLUE PRISM GROUP PLC,PRSM,LON:PRSM,PRSM.L,Software & Computer Services,PRSM,
BLUEROCK DIAMONDS PLC,BRD,LON:BRD,BRD.L,Mining,BRD,
BLUE STAR CAPITAL PLC,BLU,LON:BLU,BLU.L,General Financial,BLU,
BLUR GROUP PLC,BLUR,LON:BLUR,BLUR.L,Software & Computer Services,BLUR,
BMR GROUP PLC,BMR,LON:BMR,BMR.L,Industrial Metals,BMR,
BNN TECHNOLOGY PLC,BNN,LON:BNN,BNN.L,Software & Computer Services,BNN,
BOOHOO.COM PLC,BOO,LON:BOO,BOO.L,General Retailers,BOO,
BORDERS & SOUTHERN PETROLEUM PLC,BOR,LON:BOR,BOR.L,Oil & Gas Producers,BOR,
BOS GLOBAL HOLDINGS LIMITED,BOS,LON:BOS,BOS.L,Software & Computer Services,BOS,
BOTSWANA DIAMONDS PLC,BOD,LON:BOD,BOD.L,Mining,BOD,
BOWLEVEN PLC,BLVN,LON:BLVN,BLVN.L,Oil & Gas Producers,BLVN,
BOXHILL TECHNOLOGIES PLC,BOX,LON:BOX,BOX.L,Travel & Leisure,BOX,
B.P. MARSH & PARTNERS PLC,BPM,LON:BPM,BPM.L,General Financial,BPM,
BRADY PLC,BRY,LON:BRY,BRY.L,Software & Computer Services,BRY,
BRAIME(T.F.& J.H.)(HLDGS) PLC,BMTO,LON:BMTO,BMTO.L,Industrial Engineering,BMT,
BRAVE BISON GROUP PLC,BBSN,LON:BBSN,BBSN.L,Software & Computer Services,BBSN,
BRAVEHEART INVESTMENT GROUP PLC,BRH,LON:BRH,BRH.L,General Financial,BRH,
BREEDON GROUP PLC,BREE,LON:BREE,BREE.L,Construction & Materials,BREE,
BRIGHTON PIER GROUP PLC (THE),PIER,LON:PIER,PIER.L,Travel & Leisure,PIER,
BROOKS MACDONALD GROUP PLC,BRK,LON:BRK,BRK.L,General Financial,BRK,
BURFORD CAPITAL LIMITED,BUR,LON:BUR,BUR.L,General Financial,BUR,
BUSHVELD MINERALS LIMITED,BMN,LON:BMN,BMN.L,Mining,BMN,
BYOTROL PLC,BYOT,LON:BYOT,BYOT.L,Chemicals,BYOT,
